"team","city","team_full"
"ATL","Atlanta","Atlanta Hawks"
"BOS","Boston","Boston Celtics"
"BRK","Brooklyn","Brooklyn Nets"
"CHA","Charlotte","Charlotte Bobcats"
"CHH","Charlotte","Charlotte Hornets"
"CHI","Chicago","Chicago Bulls"
"CHO","Charlotte","Charlotte Hornets"
"CLE","Cleveland","Cleveland Cavaliers"
"DAL","Dallas","Dallas Mavericks"
"DEN","Denver","Denver Nuggets"
"DET","Detroit","Detroit Pistons"
"GSW","Golden State","Golden State Warriors"
"HOU","Houston","Houston Rockets"
"IND","Indiana","Indiana Pacers"
"LAC","Los Angeles","Los Angeles Clippers"
"LAL","Los Angeles","Los Angeles Lakers"
"MEM","Memphis","Memphis Grizzlies"
"MIA","Miami","Miami Heat"
"MIL","Milwaukee","Milwaukee Bucks"
"MIN","Minnesota","Minnesota Timberwolves"
"NJN","New Jersey","New Jersey Nets"
"NOH","New Orleans","New Orleans Hornets"
"NOK","New Orleans","New Orleans/Oklahoma City Hornets"
"NOP","New Orleans","New Orleans Pelicans"
"NYK","New York","New York Knicks"
"OKC","Oklahoma","Oklahoma City Thunder"
"ORL","Orlando","Orlando Magic"
"PHI","Philadelphie","Philadelphia 76ers"
"PHO","Phoenix","Phoenix Suns"
"POR","Portland","Portland Trail Blazers"
"SAC","Sacramento","Sacramento Kings"
"SAS","San Antonio","San Antonio Spurs"
"SEA","Seattle","Seattle SuperSonics"
"TOR","Toronto","Toronto Raptors"
"UTA","Utah","Utah Jazz"
"VAN","Vancover","Vancouver Grizzlies"
"WAS","Washington D.C","Washington Wizards"
